PAGA FOOTBALL APP — BASE DE DONNÉES EXERCICES COMPLÈTE (1150 exercices · PAGA + OTA + TC);;;;;;;;;;;;;;;;;;;;;;;;;
EXERCISE_ID;EXERCISE_NAME;MAIN_CATEGORY;SUB_CATEGORY;OBJECTIVE_PRIMARY;OBJECTIVE_SECONDARY;ENVIRONMENT;EQUIPMENT;EQUIPMENT_LEVEL;PRIORITY;SESSION_ROLE;MOVEMENT_PATTERN;VECTOR;CONTRACTION_TYPE;INTENSITY;NEURAL_LOAD;MECHANICAL_LOAD;METABOLIC_LOAD;SOLO_ONLY;FOOTBALL_TRANSFER;COMPATIBLE_DAYS;LEVEL;AGE_GROUP;POSITION_RELEVANCE;CONTRAINDICATIONS;PROGRESSION_GROUP
EX0017;Vitesse FB;speed_max;top_speed;sprint_top_speed;agility;field;none;minimal;secondary;main;sprint;mixed;concentric;very_high;very_high;moderate;high;yes;high;MD+3,MD-4;advanced;U16_U18,adult;fullback,winger;;sprint_series
EX0018;Vitesse avant arriere;cod;linear_cod;agility;deceleration;field;none;minimal;core;main;sprint;horizontal;reactive;high;high;moderate;high;yes;high;MD,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;cod_series
EX0019;Vitesse avant arriere sur ligne;cod;linear_cod;agility;deceleration;field;cones;standard;core;main;sprint;horizontal;reactive;high;high;moderate;high;yes;high;MD,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;cod_series
EX0020;Vitesse courbe;speed_max;top_speed;sprint_top_speed;agility;field;cones;standard;secondary;main;sprint;mixed;concentric;high;high;moderate;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;winger,striker;;sprint_series
EX0021;Vitesse en descente;speed_max;overspeed;overspeed;speed;field;none;minimal;advanced;main;sprint;horizontal;concentric;very_high;very_high;moderate;moderate;yes;high;MD+3;advanced;U16_U18,adult;universal;hamstring;sprint_series
EX0022;Vitesse fausse piste;cod;reorientation;agility;reaction;field;none;minimal;secondary;main;cut;mixed;reactive;high;very_high;moderate;high;no;very_high;MD,MD-2;advanced;U13_U15,U16_U18,adult;universal;;cod_series
EX0023;Vitesse freinage fort;cod;deceleration;deceleration;strength;field;none;minimal;core;main;decel;horizontal;eccentric;high;high;high;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;knee;cod_series
EX0024;Vitesse navette;cod;linear_cod;agility;conditioning;field;cones;standard;core;main;sprint;horizontal;mixed;high;high;moderate;high;yes;high;MD+3,MD;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;cod_series
EX0025;Vitesse navettes répétées;conditioning;rsa;rsa;agility;field;cones;standard;core;conditioning;sprint;horizontal;mixed;high;high;moderate;high;yes;high;MD-4;intermediate;U13_U15,U16_U18,adult;universal;;conditioning_series
EX0026;Vitesse changements de directions;cod;lateral_cod;agility;deceleration;field;cones;standard;core;main;cut;mixed;reactive;high;high;moderate;high;yes;high;MD+3,MD;intermediate;U10_U12,U13_U15,U16_U18,adult;universal;;cod_series
EX0027;Vitesse changements de rythmes;speed_max;top_speed;agility;conditioning;field;none;minimal;core;main;sprint;horizontal;mixed;high;high;moderate;high;yes;high;MD,MD-4;intermediate;U13_U15,U16_U18,adult;universal;;sprint_series
EX0028;Vitesse départ arrêté;acceleration;start;start;speed;field;none;minimal;core;main;sprint;horizontal;concentric;high;very_high;moderate;low;yes;high;MD+3;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;sprint_series
EX0029;Vitesse jump avant arriere;cod;linear_cod;agility;plyometric;field;none;minimal;secondary;main;jump;mixed;stretch_shortening;high;high;moderate;high;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;cod_series
EX0030;Vitesse rebond 1 pied;speed_max;stiffness;stiffness;proprioception;field;none;minimal;secondary;main;sprint;vertical;reactive;high;very_high;moderate;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;ankle;sprint_series
EX0031;Vitesse saut decalage;cod;reorientation;agility;plyometric;field;none;minimal;secondary;main;jump;lateral;stretch_shortening;high;high;moderate;high;yes;high;MD+3;advanced;U13_U15,U16_U18,adult;universal;;cod_series
EX0032;Vitesse saut et réactivité au sol;cod;reorientation;agility;reaction;field;none;minimal;secondary;main;jump;mixed;reactive;high;very_high;moderate;high;yes;high;MD,MD-2;advanced;U13_U15,U16_U18,adult;universal;;cod_series
EX0033;Vitesse SJ et jump avant;plyometric_power;vertical_power;explosive_power;speed;field;none;minimal;secondary;main;jump;mixed;stretch_shortening;high;high;moderate;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;plio_series
EX0034;Vitesse appuis 45° et accélération;acceleration;projection;start;agility;field;cones;standard;core;main;sprint;mixed;concentric;high;high;moderate;moderate;yes;high;MD+3,MD;intermediate;U13_U15,U16_U18,adult;winger,striker;;sprint_series
EX0035;Vitesse appuis avant 1 pied décalage;cod;footwork;agility;stiffness;field;cones;standard;secondary;main;sprint;mixed;reactive;high;high;low;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;cod_series
EX0036;Changement de rythme et direction - vitesse;cod;reorientation;agility;speed;field;cones;standard;core;main;cut;mixed;reactive;high;very_high;moderate;high;yes;very_high;MD,MD-2;intermediate;U13_U15,U16_U18,adult;universal;;cod_series
EX0037;Accélération + Décélération;cod;deceleration;deceleration;acceleration;field;cones;standard;core;main;sprint;horizontal;mixed;high;high;high;moderate;yes;high;MD+3,MD;intermediate;U13_U15,U16_U18,adult;universal;;cod_series
EX0038;Biomécanique course élastique;acceleration;sprint_mechanics;sprint_mechanics;posture;field;band;standard;core;activation;sprint;horizontal;concentric;moderate;high;moderate;low;yes;high;MD+3,MD-2;intermediate;U13_U15,U16_U18,adult;universal;;sprint_series
EX0039;Technique course - psoas - élastique;speed_max;sprint_mechanics;sprint_mechanics;psoas;field;band;standard;core;activation;sprint;horizontal;concentric;moderate;high;low;low;yes;high;MD+3,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;sprint_series
EX0040;COURSE EN CÔTE;acceleration;hill_sprint;resisted_acceleration;conditioning;field;none;minimal;core;main;sprint;horizontal;concentric;high;high;high;high;yes;high;MD+3,MD-4;intermediate;U13_U15,U16_U18,adult;universal;;conditioning_series
EX0041;skipping + vitesse;speed_max;sprint_mechanics;neural_speed;stiffness;field;none;minimal;secondary;activation;sprint;horizontal;reactive;moderate;high;low;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;sprint_series
EX0042;skipping + vitesse en côtes;acceleration;hill_sprint;neural_speed;stiffness;field;none;minimal;secondary;main;sprint;horizontal;reactive;high;high;moderate;moderate;yes;high;MD+3;advanced;U16_U18,adult;universal;;sprint_series
EX0043;skipping latéral résistance élastique;cod;lateral_cod;lateral_speed;stiffness;field;band;standard;secondary;main;shuffle;lateral;reactive;moderate;high;moderate;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;sprint_series
EX0044;skipping latéral jump retour;cod;lateral_cod;lateral_speed;plyometric;field;none;minimal;secondary;main;jump;lateral;stretch_shortening;high;high;moderate;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;cod_series
EX0045;skipping latéral 1 jambe;speed_max;stiffness;stiffness;balance;field;none;minimal;secondary;activation;sprint;vertical;reactive;moderate;high;low;moderate;yes;moderate;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;sprint_series
EX0046;Sprint accélération;acceleration;start;start;speed;field;none;minimal;core;main;sprint;horizontal;concentric;very_high;very_high;moderate;low;yes;high;MD+3;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;sprint_series
EX0047;Falling start;acceleration;start;start;projection;field;none;minimal;core;main;sprint;horizontal;concentric;high;very_high;moderate;low;yes;high;MD+3;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;starts_series
EX0048;Course arrière avant blocage avec élastique;cod;deceleration;deceleration;reaction;field;band;standard;secondary;main;decel;horizontal;eccentric;moderate;high;moderate;moderate;yes;high;MD+3,MD;intermediate;U13_U15,U16_U18,adult;universal;;cod_series
EX0049;Course arrière et blocage avant avec élastique;cod;deceleration;deceleration;acceleration;field;band;standard;secondary;main;decel;horizontal;mixed;moderate;high;moderate;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;cod_series
EX0050;Course avant arrière avec élastique;cod;linear_cod;agility;acceleration;field;band;standard;core;main;sprint;horizontal;mixed;high;high;moderate;high;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;cod_series
EX0051;Course avant arrière 3/4 élastique;cod;linear_cod;agility;acceleration;field;band;standard;secondary;main;sprint;horizontal;mixed;high;high;moderate;high;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;cod_series
EX0052;Course 3/4 élastique;acceleration;resisted_acceleration;resisted_acceleration;speed;field;band;standard;core;main;sprint;horizontal;concentric;high;high;high;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;sprint_series
EX0053;Course avant arrière + deadlift 1 jambe - élastique;cod;linear_cod;agility;strength;field;band;standard;advanced;main;hinge;mixed;mixed;high;high;high;high;yes;high;MD+3;advanced;U16_U18,adult;universal;;cod_series
EX0054;Course avant arrière + retournement élastique;cod;reorientation;agility;reaction;field;band;standard;advanced;main;cut;mixed;reactive;high;very_high;moderate;high;yes;high;MD,MD-2;advanced;U16_U18,adult;universal;;cod_series
EX0055;déplacement arrière- avant résistance élastique avant;cod;linear_cod;deceleration;acceleration;field;band;standard;core;main;decel;horizontal;eccentric;moderate;high;moderate;moderate;yes;high;MD+3,MD;intermediate;U13_U15,U16_U18,adult;universal;;cod_series
EX0056;déplacement avant arriere latéral + élastique;cod;lateral_cod;agility;deceleration;field;band;standard;secondary;main;shuffle;lateral;mixed;moderate;high;moderate;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;cod_series
EX0057;déplacement crabe avant arrières;cod;lateral_cod;lateral_speed;conditioning;field;none;minimal;core;main;shuffle;mixed;concentric;moderate;moderate;moderate;moderate;yes;high;MD+2,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;defender,fullback;;cod_series
EX0058;déplacement latéral + vitesse;cod;lateral_cod;agility;speed;field;none;minimal;core;main;shuffle;lateral;concentric;high;high;moderate;high;yes;high;MD,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;cod_series
EX0059;déplacement latéral avant arrière;cod;lateral_cod;agility;deceleration;field;none;minimal;core;main;shuffle;mixed;mixed;moderate;moderate;moderate;moderate;yes;high;MD+2,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;cod_series
EX0060;Déplacement latérale;cod;lateral_cod;lateral_speed;agility;field;none;minimal;core;main;shuffle;lateral;concentric;moderate;moderate;low;moderate;yes;high;MD+2,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;cod_series
EX0061;Déplacement élastique latéral;cod;lateral_cod;lateral_speed;strength;field;band;standard;secondary;main;shuffle;lateral;concentric;moderate;high;moderate;moderate;yes;high;MD+2,MD-2;intermediate;U13_U15,U16_U18,adult;universal;;cod_series
EX0062;Déplacements latéraux élastique;cod;lateral_cod;lateral_speed;strength;field;band;standard;secondary;main;shuffle;lateral;concentric;moderate;high;moderate;moderate;yes;high;MD+2,MD-2;intermediate;U13_U15,U16_U18,adult;universal;;cod_series
EX0063;Broad jump - élastique;plyometric_power;horizontal_power;explosive_power;strength;field;band;standard;secondary;main;jump;horizontal;stretch_shortening;high;high;high;moderate;yes;moderate;MD+3;intermediate;U13_U15,U16_U18,adult;universal;knee;plio_series
EX0064;slalom avant résistance élastique;cod;lateral_cod;agility;deceleration;field;band,cones;standard;secondary;main;cut;mixed;reactive;high;high;moderate;high;yes;high;MD,MD-2;intermediate;U13_U15,U16_U18,adult;universal;;cod_series
EX0065;appuis carré plots;coordination;multi_direction;agility;coordination;field;cones;standard;core;activation;shuffle;mixed;reactive;moderate;high;low;moderate;yes;high;MD+2,MD;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;coord_series
EX0066;appuis skipping latéral 1 plots;coordination;footwork;lateral_speed;coordination;field;cones;standard;secondary;activation;shuffle;lateral;reactive;moderate;high;low;moderate;yes;moderate;MD+2,MD-2;intermediate;U13_U15,U16_U18,adult;universal;;coord_series
EX0067;Appuis 1 pied progression droite gauche;coordination;footwork;coordination;balance;field;none;minimal;core;activation;shuffle;lateral;reactive;moderate;high;low;moderate;yes;moderate;MD+2,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;coord_series
EX0068;Appuis avant arrière axe;coordination;footwork;coordination;speed;field;none;minimal;core;activation;shuffle;horizontal;reactive;moderate;high;low;moderate;yes;moderate;MD+2,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;coord_series
EX0069;Appuis avant arrière en vitesse;cod;linear_cod;agility;coordination;field;none;minimal;core;main;shuffle;horizontal;reactive;high;high;low;high;yes;high;MD+2,MD-2;intermediate;U10_U12,U13_U15,U16_U18,adult;universal;;cod_series
EX0070;Appuis jumps avant arrière 45°;cod;lateral_cod;agility;plyometric;field;none;minimal;secondary;main;jump;mixed;stretch_shortening;high;high;moderate;high;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;cod_series
EX0071;Appuis latéraux en rebond 1 jambe;cod;lateral_cod;lateral_speed;balance;field;none;minimal;core;main;shuffle;lateral;reactive;high;very_high;low;moderate;yes;high;MD+2,MD-2;intermediate;U10_U12,U13_U15,U16_U18,adult;universal;ankle;cod_series
EX0072;Appuis latéraux vitesse;cod;lateral_cod;lateral_speed;coordination;field;none;minimal;core;main;shuffle;lateral;reactive;high;high;low;high;yes;high;MD+2,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;cod_series
EX0073;Appuis un pied avant arrière translation latérale;cod;multi_direction;agility;balance;field;none;minimal;secondary;main;shuffle;mixed;reactive;high;very_high;low;moderate;yes;high;MD+2,MD;intermediate;U13_U15,U16_U18,adult;universal;;cod_series
EX0074;Jump avant course arrière;cod;linear_cod;agility;plyometric;field;none;minimal;core;main;jump;horizontal;stretch_shortening;high;high;moderate;high;yes;high;MD+3,MD;intermediate;U10_U12,U13_U15,U16_U18,adult;universal;;cod_series
EX0075;Jump avant course arrière élastique;cod;linear_cod;agility;strength;field;band;standard;secondary;main;jump;horizontal;stretch_shortening;high;high;high;high;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;cod_series
EX0076;jump avant + résistance élastique;acceleration;resisted_acceleration;resisted_acceleration;plyometric;field;band;standard;secondary;main;jump;horizontal;stretch_shortening;high;high;high;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;plio_series
EX0077;Echelle 3:4 avant;coordination;ladder;coordination;rhythm;field;ladder;standard;core;activation;shuffle;horizontal;concentric;low;moderate;low;low;yes;moderate;MD+2,MD-2,MD+3;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;ladder_series
EX0078;Echelle avant arrière;coordination;ladder;coordination;rhythm;field;ladder;standard;core;activation;shuffle;horizontal;concentric;low;moderate;low;low;yes;moderate;MD+2,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;ladder_series
EX0079;Echelle cloche pied;coordination;ladder;coordination;rhythm;field;ladder;standard;core;activation;shuffle;horizontal;concentric;low;moderate;low;low;yes;moderate;MD+2,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;ladder_series
EX0080;Echelle cloche pied latéral;coordination;ladder;coordination;rhythm;field;ladder;standard;secondary;activation;shuffle;lateral;concentric;low;moderate;low;low;yes;moderate;MD+2,MD-2;intermediate;U10_U12,U13_U15,U16_U18,adult;universal;;ladder_series
EX0081;Echelle croisés latéraux;coordination;ladder;coordination;agility;field;ladder;standard;core;activation;shuffle;lateral;concentric;low;moderate;low;low;yes;moderate;MD+2,MD;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;ladder_series
EX0082;Echelle déplacement de 3:4;coordination;ladder;coordination;rhythm;field;ladder;standard;secondary;activation;shuffle;horizontal;concentric;low;moderate;low;low;yes;moderate;MD+2,MD-2;intermediate;U13_U15,U16_U18,adult;universal;;ladder_series
EX0083;Echelle fermeture ouverture;coordination;ladder;coordination;footwork;field;ladder;standard;core;activation;shuffle;mixed;concentric;low;moderate;low;low;yes;moderate;MD+2,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;ladder_series
EX0084;Echelle griffé;coordination;ladder;stiffness;rhythm;field;ladder;standard;secondary;activation;sprint;horizontal;reactive;low;high;low;low;yes;high;MD+2,MD-2;intermediate;U13_U15,U16_U18,adult;universal;;ladder_series
EX0085;Echelle mobilité adducteurs;coordination;ladder;coordination;mobility;field;ladder;standard;core;activation;shuffle;lateral;concentric;low;low;low;low;yes;moderate;MD+2,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;groin;ladder_series
EX0086;Echelle mobilité externe + appuis ext;coordination;ladder;coordination;mobility;field;ladder;standard;secondary;activation;shuffle;mixed;concentric;low;moderate;low;low;yes;moderate;MD+2,MD-2;intermediate;U10_U12,U13_U15,U16_U18,adult;universal;;ladder_series
EX0087;Echelle moblilité externe;coordination;ladder;coordination;mobility;field;ladder;standard;core;activation;shuffle;lateral;concentric;low;low;low;low;yes;moderate;MD+2,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;ladder_series
EX0088;Echelle skipping;coordination;ladder;coordination;stiffness;field;ladder;standard;core;activation;sprint;horizontal;reactive;low;high;low;low;yes;moderate;MD+2,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;ladder_series
EX0089;Echelle skipping 1 jambe;coordination;ladder;coordination;stiffness;field;ladder;standard;secondary;activation;sprint;vertical;reactive;moderate;high;low;low;yes;moderate;MD+2;intermediate;U13_U15,U16_U18,adult;universal;;ladder_series
EX0090;Echelle skipping latérale;coordination;ladder;lateral_speed;coordination;field;ladder;standard;secondary;activation;shuffle;lateral;reactive;moderate;high;low;low;yes;moderate;MD+2,MD-2;intermediate;U13_U15,U16_U18,adult;universal;;ladder_series
EX0091;Echelle Fentes sautées;coordination;ladder;coordination;plyometric;field;ladder;standard;secondary;main;lunge;horizontal;stretch_shortening;moderate;moderate;moderate;moderate;yes;moderate;MD+3;intermediate;U13_U15,U16_U18,adult;universal;knee;ladder_series
EX0092;Echelle Pompes sautées;coordination;ladder;coordination;upper_body;field;ladder;standard;advanced;main;push;horizontal;stretch_shortening;moderate;moderate;moderate;moderate;yes;low;MD+3;advanced;U16_U18,adult;universal;shoulder;ladder_series
EX0093;Echelle Skipping coordination bras;coordination;ladder;coordination;arm_sync;field;ladder;standard;core;activation;sprint;horizontal;concentric;low;moderate;low;low;yes;moderate;MD+2,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;ladder_series
EX0094;Echelle un pied rapide;coordination;ladder;stiffness;speed;field;ladder;standard;core;activation;sprint;vertical;reactive;moderate;high;low;low;yes;moderate;MD+2;intermediate;U13_U15,U16_U18,adult;universal;;ladder_series
EX0095;séance coordination proprioception;proprioception;multi_direction;proprioception;coordination;field;none;minimal;secondary;activation;shuffle;mixed;mixed;low;moderate;low;low;yes;moderate;MD+2,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;proprioception_series
EX0096;Drop jump;plyometric_power;reactive_power;reactive_strength;stiffness;field;bench;standard;core;main;jump;vertical;stretch_shortening;high;very_high;moderate;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;knee;plio_series
EX0097;Drop Jump + détentes;plyometric_power;reactive_power;reactive_strength;plyometric;field;bench;standard;secondary;main;jump;vertical;stretch_shortening;high;very_high;high;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;knee;plio_series
EX0098;Drop Jump 1 pied stabilisation;plyometric_power;reactive_power;reactive_strength;balance;field;bench;standard;advanced;main;jump;vertical;stretch_shortening;high;very_high;high;moderate;yes;high;MD+3;advanced;U16_U18,adult;universal;ankle,knee;plio_series
EX0099;Drop jump 1 pied + rebonds;plyometric_power;reactive_power;reactive_strength;stiffness;field;bench;standard;advanced;main;jump;vertical;stretch_shortening;high;very_high;high;moderate;yes;high;MD+3;advanced;U16_U18,adult;universal;ankle,knee;plio_series
EX0100;Détentes 1 jambe;plyometric_power;vertical_power;explosive_power;balance;field;none;minimal;core;main;jump;vertical;stretch_shortening;high;high;moderate;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;plio_series
EX0101;Détentes alternées;plyometric_power;lateral_power;explosive_power;coordination;field;none;minimal;core;main;jump;lateral;stretch_shortening;high;high;moderate;moderate;yes;high;MD+3;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;plio_series
EX0102;Détentes alternées sur box;plyometric_power;vertical_power;explosive_power;coordination;field;bench;standard;secondary;main;jump;vertical;stretch_shortening;high;high;high;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;plio_series
EX0103;Détente sur banc;plyometric_power;vertical_power;explosive_power;strength;field;bench;standard;core;main;jump;vertical;stretch_shortening;high;high;moderate;moderate;yes;high;MD+3;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;plio_series
EX0104;Détentes sur banc réception 1 pied;plyometric_power;vertical_power;explosive_power;balance;field;bench;standard;secondary;main;jump;vertical;stretch_shortening;high;high;moderate;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;ankle;plio_series
EX0105;Détentes sur box plio;plyometric_power;vertical_power;explosive_power;strength;field;bench;standard;core;main;jump;vertical;stretch_shortening;high;high;moderate;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;plio_series
EX0106;Détentes avec élastique;plyometric_power;vertical_power;explosive_power;strength;field;band;standard;secondary;main;jump;vertical;stretch_shortening;high;high;high;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;plio_series
EX0107;détentes changements de pieds;plyometric_power;lateral_power;explosive_power;coordination;field;none;minimal;secondary;main;jump;lateral;stretch_shortening;high;high;moderate;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;plio_series
EX0108;Double détente banc;plyometric_power;reactive_power;reactive_strength;plyometric;field;bench;standard;secondary;main;jump;vertical;stretch_shortening;high;very_high;high;moderate;yes;high;MD+3;advanced;U16_U18,adult;universal;knee;plio_series
EX0109;Foulées bondissantes;plyometric_power;horizontal_power;explosive_power;speed;field;none;minimal;core;main;jump;horizontal;stretch_shortening;high;high;high;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;hamstring;plio_series
EX0110;Foulées Bondissantes + vitesse;plyometric_power;horizontal_power;explosive_power;speed;field;none;minimal;secondary;main;jump;horizontal;stretch_shortening;very_high;very_high;high;moderate;yes;high;MD+3;advanced;U16_U18,adult;universal;hamstring;plio_series
EX0111;Jump avant arrière stabilité 1 pied;plyometric_power;horizontal_power;landing_stability;balance;field;none;minimal;core;main;jump;horizontal;stretch_shortening;moderate;moderate;moderate;moderate;yes;high;MD+3,MD+2;intermediate;U10_U12,U13_U15,U16_U18,adult;universal;ankle;plio_series
